Genes,ccd,ccd,ccd
UFC1_HUMAN,7.447815687,7.40654333,7.43158157
PPOX_HUMAN,2.058078915,2.432711588,2.880743328
B4GT3_HUMAN,5.322682156,5.328399285,5.216269525
ATS4_HUMAN,2.058078915,2.316153655,2.243366637
TM40L_HUMAN,2.914383283,2.734700525,3.117768007
GPHRB_HUMAN,1.308561741,0.70280457,1.576029644
MFN2_HUMAN,6.72558189,6.832026344,6.509317772
FACE1_HUMAN,5.903219129,6.001473451,6.056296767
ZF69B_HUMAN,0.707754626,0.70280457,1.346588607
MFR1L_HUMAN,5.547523548,5.58921461,5.216269525
AUNIP_HUMAN,1.039210356,-0.340850857,0.736681169
PAQR7_HUMAN,5.056212193,5.358182178,4.955958374
STMN1_HUMAN,8.497711233,8.524707028,8.537840237
RN220_HUMAN,5.923415127,5.810019882,5.690467576
TMM53_HUMAN,2.831311907,2.189344518,3.117768007
ARMD1_HUMAN,-0.340850857,-0.340850857,0.736681169
KIF2C_HUMAN,2.324234228,2.640889929,2.792212717
RS8_HUMAN,11.14329678,11.13343297,11.09849016
PLK3_HUMAN,3.748981272,3.493865697,3.707552626
